task,calibration,updates,contrast,n_paired_seeds,mean,sample_sd,ci95_low,ci95_high,minimum,maximum,positive_seeds,negative_seeds
vision,bn_only,final_minus_early,gain_a2_e2,5,0.03285960143500817,0.0056692141031559245,0.02582034238501042,0.03989886048500592,0.023216659140895324,0.036775595468573785,5,0
vision,bn_only,final_minus_early,gain_a2_e4,5,-0.002826237796088105,0.007431619587605073,-0.012053812286363229,0.006401336694187018,-0.0128377454538946,0.005530492490055661,2,3
vision,bn_only,final_minus_early,gain_a4_e2,5,0.004786645671683409,0.0037810477109466523,9.185485351019887e-05,0.00948143648985662,-0.0013236044608289088,0.008095081903948476,4,1
vision,bn_only,final_minus_early,gain_a4_e4,5,0.008252856182842595,0.004214633482480182,0.0030196975220227983,0.013486014843662391,0.0011284166459926137,0.012390904353838605,5,0
vision,raw,final_minus_early,P2,5,0.017378786931659507,0.014800643833979495,-0.0009986396672293611,0.03575621353054838,-0.00789253633887288,0.03119836052919278,4,1
vision,raw,final_minus_early,P4,5,-0.021985619006758838,0.016965884860575226,-0.04305154743580539,-0.000919690577712292,-0.034262632104079316,0.005868721275852362,1,4
vision,raw,final_minus_early,I,5,-0.004606832075099332,0.007395601522573479,-0.013789684230739764,0.004576020080541099,-0.012732518847019092,0.003958064831897978,1,4
vision,raw,final_minus_early,native_gap,5,-0.019426926190748393,0.011998706601615436,-0.03432528820298411,-0.004528564178512674,-0.028810201454186002,0.0009914893904585664,1,4
vision,raw,final_minus_early,gap_recovery,5,0.019426926190748393,0.011998706601615436,0.004528564178512674,0.03432528820298411,-0.0009914893904585664,0.028810201454186002,4,1
vision,raw,final_minus_early,gap_recovery_percent,5,7.644772760599325,4.721662320111968,1.782054646041038,13.507490875157613,-0.3901652278995442,11.337225515852722,4,1
vision,raw,final_minus_early,inference_T2_minus_T4_after_a2,5,0.0025586928160104437,0.00598574493936549,-0.004873591177630059,0.009990976809650946,-0.004877231885393796,0.00939568176319594,3,2
vision,raw,final_minus_early,inference_T2_minus_T4_after_a4,5,-0.002048139259088888,0.004175907253047371,-0.007233212955035784,0.0031369344368580077,-0.006901046948414313,0.0023881590750067794,2,3
vision,raw,final_minus_early,gain_a2_e2,5,0.03488694346084027,0.04159328752584469,-0.01675794422693879,0.08653183114861934,-0.004559846127114797,0.1030181638519978,4,1
vision,raw,final_minus_early,gain_a2_e4,5,0.03744563627685071,0.04587682414782645,-0.019517964619430464,0.09440923717313189,-0.009437078012508593,0.11241384561519374,4,1
vision,raw,final_minus_early,gain_a4_e2,5,0.017508156529180762,0.039284466004010914,-0.03126995059665927,0.0662862636550208,-0.02004851975431654,0.08310225945231497,4,1
vision,raw,final_minus_early,gain_a4_e4,5,0.015460017270091875,0.03865879950594467,-0.03254122229021708,0.06346125683040083,-0.01766036067930976,0.07976542236849182,2,3
