architecture,checkpoint,tag,T,batch,route,session,gpu,gpu_id,torch,cuda,copy_scope,warmup_capture_seconds,engine,round,repeat,wall_ms,cuda_ms,peak_allocated_gib,reserved_gib
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,1,4,21.396860480308533,21.37081527709961,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,1,5,21.432671695947647,21.406719207763672,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,1,6,21.666985005140305,21.642240524291992,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,1,7,21.52986079454422,21.504703521728516,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,1,8,21.454662084579468,21.428096771240234,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,1,9,21.46042138338089,21.436416625976562,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager_with_copy,1,0,21.611057221889496,21.571584701538086,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager_with_copy,1,1,21.546516567468643,21.520383834838867,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager_with_copy,1,2,21.54991403222084,21.525503158569336,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager_with_copy,1,3,21.458890289068222,21.43231964111328,0.4752039909362793,0.62890625
