init_id,condition,infer_T,updates,contrast,n,mean,sd,low,high,positive,negative
A,raw,4,2048,G_a4,5,-0.005375048834833996,0.01886472918569884,-0.02879870390058005,0.018048606230912062,2,3
A,raw,4,2048,P,5,0.0032213005434488908,0.00968807188061999,-0.008808029522727186,0.015250630609624966,3,2
A,raw,4,2048,accuracy_gain_a2_pp,5,-1.33,0.3498571136907173,-1.764404982585245,-0.8955950174147551,0,5
A,raw,4,2048,accuracy_gain_a4_pp,5,0.13800000000000034,0.26527344382730783,-0.19138048487989628,0.467380484879897,3,1
A,raw,4,2048,accuracy_target_minus_reuse_pp,5,1.4680000000000004,0.32483842137284336,1.0646598269479965,1.8713401730520043,5,0
B,bn,2,512,G_a2,3,0.14258737351028636,0.005798936173282911,0.12818201747420113,0.15699272954637158,3,0
B,bn,2,512,G_a4,3,-0.01512442858470601,0.004649326567860656,-0.026673996046171395,-0.0035748611232406247,0,3
B,bn,2,512,P,3,0.15771180209499236,0.0059820833229041375,0.14285148331773345,0.17257212087225127,3,0
B,bn,2,512,accuracy_gain_a2_pp,3,1.4099999999999928,0.2406241883103207,0.8122563794590122,2.0077436205409733,3,0
B,bn,2,512,accuracy_gain_a4_pp,3,0.14999999999999458,0.13747727084867095,-0.19151247302370328,0.49151247302369244,2,0
B,bn,2,512,accuracy_target_minus_reuse_pp,3,1.2599999999999982,0.2251666049839517,0.700655145132574,1.8193448548674225,3,0
B,bn,2,1024,G_a2,3,0.15277675301243634,0.001520398534655823,0.14899987367560788,0.1565536323492648,3,0
B,bn,2,1024,G_a4,3,-0.0163257505070263,0.004683842530372529,-0.027961060372624788,-0.004690440641427811,0,3
B,bn,2,1024,P,3,0.16910250351946265,0.005164790345505199,0.15627245304890916,0.18193255399001615,3,0
B,bn,2,1024,accuracy_gain_a2_pp,3,1.7566666666666617,0.08736894948054223,1.5396301644260373,1.9737031689072861,3,0
B,bn,2,1024,accuracy_gain_a4_pp,3,0.3699999999999963,0.3857460304397178,-0.5882462613732975,1.32824626137329,2,1
B,bn,2,1024,accuracy_target_minus_reuse_pp,3,1.3866666666666656,0.4445597072760141,0.2823191326976313,2.4910142006357,3,0
B,bn,2,2048,G_a2,3,0.15916354774968156,0.005651568121676749,0.14512427424809837,0.17320282125126474,3,0
B,bn,2,2048,G_a4,3,-0.001803810980993618,0.005473933361629213,-0.015401815276225004,0.01179419331423777,2,1
B,bn,2,2048,P,3,0.16096735873067516,0.0008418247142802545,0.15887615021124812,0.1630585672501022,3,0
B,bn,2,2048,accuracy_gain_a2_pp,3,1.9799999999999962,0.17058722109231794,1.5562378509418777,2.4037621490581147,3,0
B,bn,2,2048,accuracy_gain_a4_pp,3,0.399999999999993,0.10583005244258455,0.13710357569085357,0.6628964243091324,3,0
B,bn,2,2048,accuracy_target_minus_reuse_pp,3,1.5800000000000036,0.19467922333931523,1.0963899996085456,2.0636100003914617,3,0
B,bn,4,512,G_a2,3,0.019861578457173845,0.003553100406129536,0.011035187744672052,0.02868796916967564,3,0
B,bn,4,512,G_a4,3,-0.0042755523336469965,0.001686862973195429,-0.008465952259917049,-8.515240737694448e-05,0,3
B,bn,4,512,P,3,-0.024137130790820843,0.0034721983132469385,-0.03276254956343345,-0.015511712018208237,0,3
